year,Mon_and_day,events,details
1994,July 5,Company,Amazon founded.[71]
1997,May 15,Company,"Amazon IPOs at $18.00/share, raising $54 million.[71]"
1998,April 27,Acquisitions,"Amazon acquires the Internet Movie Database, a comprehensive repository for movie information on the Internet.[72]"
1998,August 5,Company Direction,Amazon announces that it will move beyond books.[73]
1998,December,Competition,"Jack Ma launches Alibaba in China, which would later grow to dominate the Chinese online retail market, and provide an obstacle to Amazon's attempts to expand in China.[74][75]"
2002,January,Product,"Amazon launches Free Super Saver Shipping, which allows customers to get free shipping for orders above $99.[71]"
2002,March,"Legal, Competition","Amazon settles its October 1999 patent infringement suit against Barnes & Noble (over its 1-Click checkout system, which it received a patent for in September 1999). It originally charged that Barnes&Noble.com had essentially copied Amazon's 1-Click technology.[76]"
2003,October,Product,"Amazon launches A9.com, a subsidiary of Amazon.com based in Palo Alto, California that develops search and advertising technology.[77]"
2003,December,Company,First profit announced.[78]
2004,August 19,International,"Amazon acquires Joyo, an online bookstore in China, for $75 million, which then becomes the 7th regional website of Amazon.com. joyo later becomes Amazon China.[79]"
2005,February,Product,"Amazon launches Amazon Prime, a membership offering free two-day shipping within the contiguous United States on all eligible purchases for a flat annual fee of $79.[71]"
2005,November,Product,"Amazon launches Amazon Mechanical Turk, an application programming interface (API) allowing any Internet user to perform ""human-intelligence"" tasks such as transcribing podcasts, often at very low wages.[71]"
2006,August 25,Product,"Amazon launches Amazon Elastic Compute Cloud (Amazon EC2), a virtual site farm allowing users to use the Amazon infrastructure to run applications ranging from running simulations to web hosting.[80]"
2006,September 19,Product,"Amazon launches Fulfillment by Amazon, giving small businesses the ability to use Amazon.com's own order fulfillment and customer service infrastructure - and customers of Amazon.com shipping offers when buying from 3rd-party sellers.[81]"
2006,,Legal,Amazon agrees to settle a legal dispute with Toys R Us (over a partnership that gave Toys R Us exclusive rights to supply some toy products on Amazon's website) and pays $51 million.[82]
2006,March,Product,"Amazon launches Amazon Simple Storage Service (Amazon S3), which allows other websites/developers to store computer files on Amazon's servers.[71]"
2007,August,Product,"CreateSpace announces launch of Books on Demand service, which makes it easy for authors who want to self-publish their books to distribute them on Amazon.com.[83]"
2007,August,Product,"Amazon launches AmazonFresh, a grocery service offering perishable and nonperishable foods.[84]"
2007,September 25,Product,"Amazon launches Amazon Music, an online music store and music locker.[85]"
2007,November 19,Product,Amazon launches the Amazon Kindle.[71]
2009,July 22,"Acquisitions, Competition",Amazon acquires Zappos for $850 million.[86]
2009,October 20,Competition,"Barnes & Noble announces the Nook, an eReader.[87]"
2010,January,Competition,"Apple introduces its own virtual bookstore, called iBooks, and then partners with five major book publishers.[88] It later convinces them to raise the price of ebooks (using the agency pricing model that gives publishers full control over ebook prices)."
2010,February 1,Competition,"Microsoft launches Microsoft Azure, a cloud computing platform that will compete with Amazon AWS over cloud services."
2010,July,Product,Amazon announced that e-book sales for its Kindle reader outnumbered sales of hardcover books for the first time ever.[89]
2011,January,Acquisitions,"Amazon acquires Lovefilm, a DVD rental service known as the Netflix of Europe.[90]"
2011,February 16,Competition,"Borders Group, outcompeted by Amazon, applies for Chapter 11 bankruptcy.[91]"
2011,February 22,Product,"Amazon rebrands its Amazon Video service as Amazon Instant Video and adds access to 5,000 movies and TV shows for Amazon Prime members.[92][93]"
2011,March 22,Product,Amazon launches the Amazon Appstore for Android devices and the service was made available in over 200 countries.[94]
2011,July 1,Legal,California starts collecting sales taxes on Amazon.com purchases.[95]
2011,September,Product,"Amazon launches Amazon Locker, a delivery locker system that allows users to get items delivered at specially-designed lockers.[96]"
2011,September 28,Product,"Amazon announces the Kindle Fire, a tablet computer that takes aim at Apple's iPad with a smaller device that sells at $199, compared with the $499 value of Apple's cheapest iPad.[97]"
2012,April,Legal,"The Department of Justice files suit against Apple Inc and five major publishing houses (the ""Big Five""), alleging that they colluded in 2010 to raise the price of ebooks (using the agency pricing model that gives publishers full control over ebook prices).[98] Amazon had originally set the price of ebooks at $9.99 (using the wholesale pricing model giving Amazon full control over ebook prices)."
2012,March 19,Acquisitions,"Amazon acquires Kiva Systems for $775 million, a robotics company that creates robots that can move items around warehouses.[99]"
2012,April,Legal,"Amazon agrees to allow collection of sales taxes in both Nevada and Texas (starting on July 1), and agrees to create 2,500 jobs and invest $200 million in new distribution centers in Texas.[100]"
2012,September 6,Product,Amazon announces the Kindle Fire HD series of touchscreen tablet computers.[101]
2013,March,Acquisitions,Amazon acquires social reading and book-review site GoodReads.[102]
2013,June,Acquisitions,Amazon launches in India.[103][104]
2014,July 25,Product,Amazon launches the Amazon Fire.[105]
2014,August 25,Acquisitions,Amazon announced its intent to acquire the video game streaming website Twitch for $970 million.[106]
2014,October,Legal,"Amazon reaches agreement with Simon & Schuster, allowing the publisher to adopt the agency pricing model and set prices on its books sold on Amazon.[107]"
2014,"November 6 (announcement), actual rollout occurs through 2015",Product,"Amazon unveils Amazon Echo, a wireless speaker and voice command device that can take commands and queries, and be used to add items to the Amazon.com shopping cart, among other things.[108][109] The Alexa Voice Service that is built into Amazon Echo can also be added to other Amazon devices.[110]"
2014,November,Legal,"Amazon resolves dispute with Hachette, allowing Hachette to adopt the agency-pricing model and set prices on Hachette books sold on Amazon.[111]"
2015,July,Competition,"Alibaba announces that it will invest $1 billion into its Aliyun cloud computing arm, some of which would go into new Aliyun international data centers. This would allow Aliyun to compete with Amazon Web Services outside of China.[112]"
2015,August 26,Product,"Amazon launches Amazon Underground, an Android app through which users can get gaming and other apps for free that they would otherwise have to pay for, and also get in-app purchases for free. App creator participation is voluntary. App creators are paid $0.002 for every minute a user spends in the app.[113][114][115]"
2015,September 8,Product,"Amazon launches its Amazon Restaurants service that delivers food from nearby restaurants, for Amazon Prime customers in Seattle.[116][117] The service would subsequently be rolled out to many other cities."
2015,November 2,Product,"Amazon opened its first physical retail store, a bookstore in the University Village shopping center in Seattle. The store, known as Amazon Books, has prices matched to those found on the Amazon website and integrate online reviews into the store's shelves.[118]"
2015,December 14,Company,"Amazon begins moving into their new headquarters campus in the Denny Triangle neighborhood of Seattle, beginning with the 38-story Amazon Tower I (nicknamed ""Doppler"" after the codename for Amazon Echo).[119] The three towers are scheduled to be completed by 2020."
2016,December 7,Delivery,"Amazon Prime Air (Amazon's drone-based delivery system) makes its first delivery in Cambridge in the United Kingdom. The successful delivery is announced a week later, on December 14, along with video.[120][121]"
2017,June 15,Acquisitions,"Amazon acquires Whole Foods for $13.7 billion, a high end grocery store located throughout the United States, United Kingdom, and Canada.[122]"
2017,September 7,Company,"Amazon began search for Amazon HQ2, a second company headquarters to house up to 50,000 employees.[123][124]"
2018,January 18,Company,Amazon narrows down the choices of its second headquarters location to 20 places.[125]
2018,January 22,Company,Amazon opens a cashier-less grocery store to the public.[126]
2018,September 19,Acquisitions,Amazon launches in Turkey.[127]
2018,October 2,Company,"After widespread criticism, Amazon raises its minimum wage for all U.S. and U.K. employees to $15 an hour, including Whole Foods and seasonal employees, beginning November 1, 2018.[128][129]"
2018,November 13,Company,Amazon CEO announces that the new headquarters HQ2 will be split between New York City and Northern Virginia.[130]
2019,February 14,Company,Amazon cancels plans to open new HQ2 in New York City after massive backlash from local politicians and community members. Plans in Northern Virginia remain unchanged.[131]
